short_id,config_id,arch_str,depth,width_sum,activation,optimizer,loss_fn,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0322,256x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.01,0.001,0.0,32,0.0,,,,18.703566317560835,0.9879227822280332,12.71632614084081,5.987240176720025,88.8,16.997666725825248,19.39951302945077,19.05967354774475
C0466,256x128x64_gelu_nadam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,nadam,mse,0.01,0.001,0.0,32,0.0,,,,18.962559782763794,1.054741400548637,13.799964991201097,5.162594791562697,71.6,17.640118426650748,20.324011356911694,15.680376529693604
C0178,128x128x64_gelu_nadam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,nadam,mse,0.01,0.001,0.0,32,0.0,,,,19.065234951389478,1.2881148844953267,13.719576465867243,5.345658485522234,67.8,17.052186120337247,20.550120725070663,10.813956022262573
C0324,256x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adam,mee,0.01,0.001,0.0,32,0.0,,,,19.166643951028576,1.1304295106864428,12.138848420532204,7.0277955304963715,66.6,17.87447157540651,20.686789643176844,15.283342123031616
C0034,128x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adam,mse,0.01,0.001,0.0,32,0.0,,,,19.333469510269598,2.0305787107792432,14.550628648579991,4.782840861689607,75.2,16.557234112707686,21.480772832028528,10.694292068481445
C0323,256x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adam,huber,0.01,0.001,0.0,32,0.0,,,,19.40883338506963,1.4728920806892856,16.985710293405106,2.423123091664525,109.6,17.444947360697,21.53615645548043,22.1396906375885
C0180,128x128x64_gelu_nadam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,nadam,mee,0.01,0.001,0.0,32,0.0,,,,19.473426201302026,1.2357275487862809,12.443272061258778,7.030154140043248,62.8,17.84050142049073,21.098902831947004,10.673776626586914
C0036,128x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adam,mee,0.01,0.001,0.0,32,0.0,,,,19.515120209276926,1.4850842183771358,13.387324784375759,6.1277954249011675,52.8,17.2827309103672,21.309143376760577,8.68709421157837
C0317,256x128x64_gelu_adam_lr0.003_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adam,huber,0.003,0.001,0.0,32,0.0,,,,19.521864783663123,1.2236762300118593,16.32562024602958,3.196244537633543,79.6,17.956538912077686,21.04389546715035,17.944326877593994
C0538,256x128x64_gelu_radam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,radam,mse,0.01,0.001,0.0,32,0.0,,,,19.632888833031643,1.0880936628805054,14.61227023168765,5.020618601343994,68.6,17.830907810995637,20.79539006104842,16.589452266693115
C0468,256x128x64_gelu_nadam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,nadam,mee,0.01,0.001,0.0,32,0.0,,,,19.75477300837144,1.0612736538776513,14.178244291811518,5.576528716559922,56.0,18.53659865831802,21.128933066376117,13.566937685012817
C0172,128x128x64_gelu_nadam_lr0.003_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,nadam,mse,0.003,0.001,0.0,32,0.0,,,,19.879788246643283,0.9836899676454751,15.284063336839122,4.5957249098041615,63.6,18.244255655656694,20.75816953957645,10.683692455291748
C0028,128x128x64_gelu_adam_lr0.003_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adam,mse,0.003,0.001,0.0,32,0.0,,,,19.93882901729406,1.1437738897056693,15.567515827596509,4.371313189697553,60.4,18.071055435651154,20.891864245497345,8.870443344116211
C0316,256x128x64_gelu_adam_lr0.003_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.003,0.001,0.0,32,0.0,,,,19.938833280744245,1.134528311365094,15.276245038573473,4.662588242170772,59.6,18.23927558749346,21.275815305879597,14.416678190231323
C0173,128x128x64_gelu_nadam_lr0.003_wd0.001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,nadam,huber,0.003,0.001,0.0,32,0.0,,,,19.93994859263875,0.995374104647617,17.27797005447461,2.6619785381641385,67.8,18.419356406429348,20.972425958593398,11.42127776145935
C0539,256x128x64_gelu_radam_lr0.01_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,radam,huber,0.01,0.001,0.0,32,0.0,,,,20.02190479109509,1.7284574421709082,17.77323064320935,2.2486741478857404,58.4,17.308537214136813,21.698828463951394,14.754444122314453
C0460,256x128x64_gelu_nadam_lr0.003_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,nadam,mse,0.003,0.001,0.0,32,0.0,,,,20.03666367149588,0.8724260911338904,15.348551463277408,4.688112208218472,50.8,18.861219547975,20.96375155315228,12.232497930526733
C0464,256x128x64_gelu_nadam_lr0.01_wd0.0001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,nadam,huber,0.01,0.0001,0.0,32,0.0,,,,20.04509731516496,0.9739418383019222,11.303772118761485,8.741325196403475,50.0,18.740814861269023,20.80578986140819,11.977747917175293
C0029,128x128x64_gelu_adam_lr0.003_wd0.001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,adam,huber,0.003,0.001,0.0,32,0.0,,,,20.08090164326662,1.3749550572512197,17.501086592787466,2.579815050479155,66.8,17.942714256250973,21.521160505460955,9.663862943649292
C0461,256x128x64_gelu_nadam_lr0.003_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,nadam,huber,0.003,0.001,0.0,32,0.0,,,,20.10102653572722,1.3062007181381134,17.308286103417814,2.792740432309408,57.4,18.189076860046594,21.743947898426892,13.248780727386475
C0251,128x128x64_gelu_radam_lr0.01_wd0.001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,radam,huber,0.01,0.001,0.0,32,0.0,,,,20.11449848015145,1.6462845079945072,17.655431593468084,2.4590668866833667,70.4,17.597339392480954,21.788928410108223,12.833879232406616
C0250,128x128x64_gelu_radam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,radam,mse,0.01,0.001,0.0,32,0.0,,,,20.145187316701843,1.2990133174330953,16.320236142846085,3.8249511738557587,54.2,18.056948504012674,21.491621356827768,10.15749979019165
C0032,128x128x64_gelu_adam_lr0.01_wd0.0001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,adam,huber,0.01,0.0001,0.0,32,0.0,,,,20.146536834512283,1.2316006250317022,15.089794317434954,5.056742517077328,32.8,18.11529004870641,21.334642072491583,5.93757438659668
C0521,256x128x64_relu_radam_lr0.01_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,relu,radam,huber,0.01,0.001,0.0,32,0.0,,,,20.162764198804602,0.4807890324112852,16.864176218297867,3.298587980506735,69.8,19.328437581005986,20.535845953849776,14.729352235794067
C0170,128x128x64_gelu_nadam_lr0.003_wd0.0001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,nadam,huber,0.003,0.0001,0.0,32,0.0,,,,20.19287935418223,0.8300586027741224,14.25079935901996,5.942079995162272,45.8,19.311427020471513,21.060177162976764,8.488605499267578
C0035,128x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,adam,huber,0.01,0.001,0.0,32,0.0,,,,20.207954081466724,1.645048751880987,18.634361089192225,1.5735929922744987,61.2,17.92525313602897,21.448241538887657,9.029752016067505
C0174,128x128x64_gelu_nadam_lr0.003_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,nadam,mee,0.003,0.001,0.0,32,0.0,,,,20.209673046317516,0.7485730542763908,14.045869714757709,6.163803331559807,53.0,19.46859043145481,21.330095961822863,9.847897052764893
C0176,128x128x64_gelu_nadam_lr0.01_wd0.0001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,nadam,huber,0.01,0.0001,0.0,32,0.0,,,,20.229395864989378,0.6954832380985874,11.290301860270025,8.939094004719353,48.4,19.261615974365263,20.97231773977517,8.582786798477173
C0320,256x128x64_gelu_adam_lr0.01_wd0.0001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adam,huber,0.01,0.0001,0.0,32,0.0,,,,20.23410379293452,0.6365470581879084,13.951988747167325,6.282115045767194,40.2,19.656149062004367,21.111197499858452,11.483772039413452
C0025,128x128x64_gelu_adam_lr0.003_wd0.0001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adam,mse,0.003,0.0001,0.0,32,0.0,,,,20.25604586734022,1.0860523332154783,15.576181759619754,4.679864107720466,38.0,18.577007775916776,21.043824001314828,6.2893595695495605
C0252,128x128x64_gelu_radam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,radam,mee,0.01,0.001,0.0,32,0.0,,,,20.279989863027954,1.0791253433657468,14.75441319607578,5.525576666952174,57.4,18.99543818487558,21.46571088152835,11.886789083480835
C0392,256x128x64_gelu_adamw_lr0.01_wd0.0001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adamw,huber,0.01,0.0001,0.0,32,0.0,,,,20.291835098312212,1.226908258639025,14.070003006561194,6.221832091751018,37.8,18.39202208896283,21.684601777933235,9.531898498535156
C0016,128x128x64_relu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,relu,adam,mse,0.01,0.001,0.0,32,0.0,,,,20.31374946092604,0.542838440463366,16.746531238973756,3.5672182219522846,64.4,19.442783919162633,20.886802710208038,8.011323928833008
C0313,256x128x64_gelu_adam_lr0.003_wd0.0001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.003,0.0001,0.0,32,0.0,,,,20.315520959658535,0.533534217323174,14.63562133587846,5.679899623780075,40.4,19.63906138442092,20.944103905720475,11.237572193145752
C0442,256x128x64_relu_nadam_lr0.003_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,relu,nadam,mse,0.003,0.001,0.0,32,0.0,,,,20.31635442472389,0.46407329888820015,16.02529983649124,4.291054588232651,58.6,19.493343693389296,20.623075393302287,13.106637716293335
C0018,128x128x64_relu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,relu,adam,mee,0.01,0.001,0.0,32,0.0,,,,20.33567181509061,0.5051080159337786,14.367883527460526,5.967788287630084,59.2,19.572506357903116,20.798907021525274,8.10931134223938
C0026,128x128x64_gelu_adam_lr0.003_wd0.0001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,adam,huber,0.003,0.0001,0.0,32,0.0,,,,20.33644717715875,0.8265296749488699,15.204902998925556,5.131544178233193,39.0,19.06519558102152,21.07515625812567,6.40903902053833
C0455,256x128x64_gelu_nadam_lr0.001_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,nadam,huber,0.001,0.001,0.0,32,0.0,,,,20.357165877031683,0.6190682667577715,16.73524520709777,3.621920669933914,71.6,19.7573895550217,21.250124809479992,15.835466623306274
C0462,256x128x64_gelu_nadam_lr0.003_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,nadam,mee,0.003,0.001,0.0,32,0.0,,,,20.359217549282,0.8253282195204366,15.081211454728223,5.278006094553778,37.0,19.309707722162464,21.23622027787029,10.215096235275269
C0100,128x128x64_gelu_adamw_lr0.003_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adamw,mse,0.003,0.001,0.0,32,0.0,,,,20.36142885937156,0.9748063525005989,15.471003811783325,4.890425047588236,37.2,18.937692966986006,21.064521941655837,7.135598182678223
C0175,128x128x64_gelu_nadam_lr0.01_wd0.0001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,nadam,mse,0.01,0.0001,0.0,32,0.0,,,,20.3649143231929,0.7924861102730768,12.92964150523927,7.43527281795363,37.8,19.54458518631704,21.33297588654997,7.28991174697876
C0097,128x128x64_gelu_adamw_lr0.003_wd0.0001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adamw,mse,0.003,0.0001,0.0,32,0.0,,,,20.365440464780146,0.9727051807280399,15.462599224959465,4.902841239820681,37.2,18.947619231201546,21.067058543828406,6.954253435134888
C0312,256x128x64_gelu_adam_lr0.001_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adam,mee,0.001,0.001,0.0,32,0.0,,,,20.377657916766307,0.8279727985951018,15.93453243250882,4.443125484257486,54.6,19.2710319136841,21.23508423428782,14.51449704170227
C0318,256x128x64_gelu_adam_lr0.003_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adam,mee,0.003,0.001,0.0,32,0.0,,,,20.381009399674575,0.831225554811259,15.131797003707117,5.249212395967458,42.4,19.185883469814563,21.031461303933717,11.61305284500122
C0027,128x128x64_gelu_adam_lr0.003_wd0.0001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adam,mee,0.003,0.0001,0.0,32,0.0,,,,20.381278136914794,1.0322048052302557,14.477023375699707,5.904254761215087,43.2,19.137758686114896,21.334761520450467,7.389928340911865
C0458,256x128x64_gelu_nadam_lr0.003_wd0.0001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,nadam,huber,0.003,0.0001,0.0,32,0.0,,,,20.385035563390808,0.5411313379153323,15.547501576789136,4.837533986601672,32.2,19.791320279563504,21.174938728208083,8.974634647369385
C0445,256x128x64_relu_nadam_lr0.01_wd0.0001_do0_bs32_ns0_lossmse,256x128x64,3,448,relu,nadam,mse,0.01,0.0001,0.0,32,0.0,,,,20.38711986537041,0.4720876939531451,15.649912941662638,4.73720692370777,49.8,19.668203271128636,20.91657811749583,14.522777557373047
C0310,256x128x64_gelu_adam_lr0.001_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.001,0.001,0.0,32,0.0,,,,20.388204365023057,0.73333488715034,16.238757421462854,4.1494469435602035,69.4,19.29025912666285,21.12291125744441,17.891064643859863
C0467,256x128x64_gelu_nadam_lr0.01_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,nadam,huber,0.01,0.001,0.0,32,0.0,,,,20.39137749329535,1.076350565970046,18.58936622521635,1.8020112680790028,85.2,18.694236656490226,21.506704224344606,18.0527560710907
C0520,256x128x64_relu_radam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,relu,radam,mse,0.01,0.001,0.0,32,0.0,,,,20.393280951209135,0.42680084370433824,15.681547039920014,4.711733911289121,64.8,19.669354125905517,20.72177071549491,13.978160858154297
C0522,256x128x64_relu_radam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,relu,radam,mee,0.01,0.001,0.0,32,0.0,,,,20.39740933742126,0.6552745071015249,15.30788136875412,5.089527968667138,53.0,19.321854765950963,20.92544889685642,12.379339933395386
C0307,256x128x64_gelu_adam_lr0.001_wd0.0001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.001,0.0001,0.0,32,0.0,,,,20.39862327165926,0.7066237091912908,15.496285808070493,4.902337463588768,61.8,19.338353884740094,21.149627150692016,27.534451961517334
C0154,128x128x64_relu_nadam_lr0.003_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,relu,nadam,mse,0.003,0.001,0.0,32,0.0,,,,20.39910410140957,0.6478402621550012,14.582100005856068,5.817004095553502,68.0,19.390968495923914,21.01614325053301,10.165220737457275
C0099,128x128x64_gelu_adamw_lr0.003_wd0.0001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.003,0.0001,0.0,32,0.0,,,,20.401539823836885,0.9681907105600639,14.295072090956936,6.106467732879949,42.8,19.30677981525802,21.298199610300486,8.209655284881592
C0533,256x128x64_gelu_radam_lr0.003_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,radam,huber,0.003,0.001,0.0,32,0.0,,,,20.404608947972555,0.8627702464884878,16.68777388212049,3.7168350658520666,90.2,19.090194290812924,21.257852261350223,18.44785475730896
C0248,128x128x64_gelu_radam_lr0.01_wd0.0001_do0_bs32_ns0_losshuber,128x128x64,3,320,gelu,radam,huber,0.01,0.0001,0.0,32,0.0,,,,20.409152443339643,0.6145784451501477,16.11232008831474,4.296832355024904,41.0,19.53044496574586,20.973013932618993,8.380751371383667
C0443,256x128x64_relu_nadam_lr0.003_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,relu,nadam,huber,0.003,0.001,0.0,32,0.0,,,,20.414760887876604,0.5768611505246355,16.861721937839388,3.553038950037216,59.6,19.431612394251783,20.885345665004003,12.977680683135986
C0388,256x128x64_gelu_adamw_lr0.003_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adamw,mse,0.003,0.001,0.0,32,0.0,,,,20.41605546304811,0.6623108171279487,14.860905381740896,5.5551500813072145,38.6,19.67103738954141,21.14417461534858,9.590148687362671
C0177,128x128x64_gelu_nadam_lr0.01_wd0.0001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,nadam,mee,0.01,0.0001,0.0,32,0.0,,,,20.41628444721986,0.26992075071899285,12.75792489473559,7.658359552484269,35.0,20.096551135098377,20.765021983957393,7.141683340072632
C0454,256x128x64_gelu_nadam_lr0.001_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,nadam,mse,0.001,0.001,0.0,32,0.0,,,,20.419725110150758,0.5713636955505688,16.103816970247323,4.315908139903435,65.6,19.777211702121186,21.198418467901785,14.704838991165161
C0102,128x128x64_gelu_adamw_lr0.003_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.003,0.001,0.0,32,0.0,,,,20.422143488561208,0.9410056279067099,14.314786998640997,6.10735648992021,42.8,19.404834120575313,21.300950408546328,8.172253131866455
C0463,256x128x64_gelu_nadam_lr0.01_wd0.0001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,nadam,mse,0.01,0.0001,0.0,32,0.0,,,,20.432089630920593,0.3719900120893267,14.805412763064822,5.626676867855771,36.2,19.845920026329928,20.708504740556272,9.854591846466064
C0385,256x128x64_gelu_adamw_lr0.003_wd0.0001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adamw,mse,0.003,0.0001,0.0,32,0.0,,,,20.432672262247422,0.631301233133363,15.716010945499963,4.716661316747459,34.2,19.729240850496698,21.135697030501237,9.011487483978271
C0314,256x128x64_gelu_adam_lr0.003_wd0.0001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adam,huber,0.003,0.0001,0.0,32,0.0,,,,20.43557785356494,0.7164040458154564,14.86551828333631,5.570059570228629,37.2,19.59481692774475,21.16950838278148,10.500072717666626
C0308,256x128x64_gelu_adam_lr0.001_wd0.0001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adam,huber,0.001,0.0001,0.0,32,0.0,,,,20.440646311577723,0.7240962039540152,15.737437038976708,4.703209272601015,55.4,19.465981724466605,21.205714019999796,26.135677576065063
C0030,128x128x64_gelu_adam_lr0.003_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adam,mee,0.003,0.001,0.0,32,0.0,,,,20.442284527191447,0.8104461242387325,14.908124307429492,5.534160219761954,45.6,19.56162935342095,21.252689381706706,7.753159999847412
C0169,128x128x64_gelu_nadam_lr0.003_wd0.0001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,nadam,mse,0.003,0.0001,0.0,32,0.0,,,,20.447220185724007,0.9160698483669918,15.721569318469886,4.725650867254121,36.6,19.418947419052454,21.57496756076911,6.984118938446045
C0383,256x128x64_gelu_adamw_lr0.001_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adamw,huber,0.001,0.001,0.0,32,0.0,,,,20.4603372476253,0.662545293470248,15.357469365924729,5.102867881700572,56.0,19.60028370999391,21.180676020275563,12.55748462677002
C0382,256x128x64_gelu_adamw_lr0.001_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adamw,mse,0.001,0.001,0.0,32,0.0,,,,20.463748425255897,0.7885643382981781,15.783064146934194,4.680684278321703,56.4,19.353524824567778,21.451027671873256,12.677343130111694
C0380,256x128x64_gelu_adamw_lr0.001_wd0.0001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adamw,huber,0.001,0.0001,0.0,32,0.0,,,,20.46494658308152,0.6560078809376388,15.41547806209025,5.049468520991271,55.0,19.62106287372603,21.18280058205128,12.296569585800171
C0379,256x128x64_gelu_adamw_lr0.001_wd0.0001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adamw,mse,0.001,0.0001,0.0,32,0.0,,,,20.465209980884246,0.7886864302665769,15.779402499039136,4.68580748184511,56.4,19.354183629493427,21.45175716416968,12.528907060623169
C0311,256x128x64_gelu_adam_lr0.001_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,gelu,adam,huber,0.001,0.001,0.0,32,0.0,,,,20.467923940194176,0.7466118960877717,17.078634247246562,3.3892896929476137,65.6,19.582756072908104,21.156457356788493,16.33146619796753
