short_id,config_id,arch_str,depth,width_sum,activation,optimizer,loss_fn,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0320,256x256x128_gelu_adamw_lr0.02_wd0.1_do0.1_bs32_ns0_lossmse,256x256x128,3,640,gelu,adamw,mse,0.02,0.1,0.1,32,0.0,,,,18.058317717148576,1.1681143275613928,12.741563698684272,5.316754018464303,132.2,16.626669251615642,19.62642283181865,24.429954528808594
C0310,256x256x128_gelu_adamw_lr0.01_wd0.1_do0.1_bs32_ns0_lossmse,256x256x128,3,640,gelu,adamw,mse,0.01,0.1,0.1,32,0.0,,,,18.10210336133926,0.9476714432126069,11.40533181676833,6.696771544570931,98.4,16.776875846114876,19.09422657830812,18.5016450881958
C0111,128x128x128_gelu_adam_lr0.02_wd0.001_do0_bs32_ns0_lossmse,128x128x128,3,384,gelu,adam,mse,0.02,0.001,0.0,32,0.0,,,,18.288851401836073,1.9457303445561158,12.805319483422116,5.4835319184139575,101.0,15.95078665558729,21.185400733265826,35.51288890838623
C0157,128x128x128_gelu_adamw_lr0.02_wd0.05_do0_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.02,0.05,0.0,32,0.0,,,,18.335242046727636,2.2226463073505807,11.650913370008247,6.684328676719389,68.6,15.625925961329699,21.43492482269209,23.74166226387024
C0241,256x256x128_gelu_adam_lr0.005_wd0.001_do0_bs32_ns0_lossmse,256x256x128,3,640,gelu,adam,mse,0.005,0.001,0.0,32,0.0,,,,18.416090333430315,0.8764144678759096,11.088365459159501,7.327724874270814,92.8,17.145715920073854,19.433177579873306,33.79172134399414
C0239,256x128x64_gelu_adamw_lr0.02_wd0.1_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adamw,mse,0.02,0.1,0.0,32,0.0,,,,18.479010372727906,1.7908522512735694,13.15284705812264,5.326163314605266,95.0,16.512218572014795,20.37886731589573,32.564388036727905
C0261,256x256x128_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,256x256x128,3,640,gelu,adam,mse,0.01,0.001,0.0,32,0.0,,,,18.523192870501997,1.7462072754586027,13.202205391852186,5.320987478649812,83.4,16.590604618241297,21.01936567609606,31.388806581497192
C0397,256x256x256_gelu_adamw_lr0.02_wd0.05_do0_bs32_ns0_lossmse,256x256x256,3,768,gelu,adamw,mse,0.02,0.05,0.0,32,0.0,,,,18.55074667624156,0.9400536958556824,11.1565926325821,7.394154043659459,85.4,17.38288017209141,19.794558101349885,32.77854561805725
C0309,256x256x128_gelu_adamw_lr0.01_wd0.1_do0_bs32_ns0_lossmse,256x256x128,3,640,gelu,adamw,mse,0.01,0.1,0.0,32,0.0,,,,18.57968503041547,1.251185011712528,10.261991433852677,8.317693596562792,75.4,16.704363814744475,19.67235929037196,12.364745616912842
C0159,128x128x128_gelu_adamw_lr0.02_wd0.1_do0_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.02,0.1,0.0,32,0.0,,,,18.619403479814217,1.7018978254388228,12.341417434109378,6.277986045704839,91.6,16.2832093383301,20.81234041562803,30.47188138961792
