short_id,config_id,arch_str,depth,width_sum,activation,optimizer,loss_fn,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0081,256x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.01,0.001,0.0,32,0.0,,,,19.74913207129397,1.3726910015843854,15.86940118251999,3.879730888773981,47.8,17.956196740708933,21.685386402303244,9.520204782485962
C0021,128x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adam,mse,0.01,0.001,0.0,32,0.0,,,,19.765487186422895,1.6674763717501782,16.387442638786126,3.378044547636769,42.6,17.30391801179964,21.474284551920398,7.780489206314087
C0061,256x128x64_gelu_adam_lr0.005_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.005,0.001,0.0,32,0.0,,,,20.022733764953774,1.369578920467307,16.270124767149525,3.7526089978042485,41.6,18.151682898918704,21.399390578913316,8.293968439102173
C0059,128x128x64_gelu_adamw_lr0.01_wd0.1_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adamw,mse,0.01,0.1,0.0,32,0.0,,,,20.063642169072487,1.5329032177390862,16.782165344178313,3.281476824894174,33.0,17.576435248778857,21.398455965260077,6.487171173095703
C0082,256x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adam,mee,0.01,0.001,0.0,32,0.0,,,,20.17879723539045,1.2698782809893499,15.131371428858746,5.047425806531706,37.4,18.631407014130424,21.44196008108843,8.388847827911377
C0117,256x128x64_gelu_adamw_lr0.01_wd0.05_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adamw,mse,0.01,0.05,0.0,32,0.0,,,,20.19319798836849,0.6513768690565479,16.033048298619825,4.160149689748664,35.0,19.407033313566643,20.849016408108287,7.28813910484314
C0099,256x128x64_gelu_adamw_lr0.005_wd0.1_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adamw,mse,0.005,0.1,0.0,32,0.0,,,,20.249922414822993,1.0183049608433212,16.171183991416076,4.078738423406918,34.6,19.134278614104243,21.57226781516738,7.226205110549927
C0071,256x128x64_gelu_adam_lr0.003_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.003,0.001,0.0,32,0.0,,,,20.25922499180956,0.9778446885448312,16.97418057947429,3.285044412335271,40.8,18.984640300675682,21.285703625194788,8.510251522064209
C0001,128x128x64_gelu_adam_lr0.005_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adam,mse,0.005,0.001,0.0,32,0.0,,,,20.275588482480337,1.081677809942952,17.37578913736733,2.8997993451130064,37.0,18.746803851304428,21.539843836167687,6.481793403625488
C0057,128x128x64_gelu_adamw_lr0.01_wd0.05_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adamw,mse,0.01,0.05,0.0,32,0.0,,,,20.348535747504933,0.751819862579831,16.942191536826286,3.406344210678647,26.0,19.630509314192118,21.400992611925552,5.509039878845215
