short_id,config_id,arch_str,depth,width_sum,activation,optimizer,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0219,64x32_relu_adam_lr0.01_wd0.001_do0_bs32_ns0.05,64x32,2,96,relu,adam,0.01,0.001,0.0,32,0.05,,,,21.17976042962181,0.7059194823077936,19.538523035308305,1.641237394313503,53.2,20.488365514475202,22.08729413789962,5.943425893783569
C0434,64x64x32_relu_adam_lr0.01_wd0.001_do0_bs32_ns0.01,64x64x32,3,160,relu,adam,0.01,0.001,0.0,32,0.01,,,,21.195365638646734,0.9708380052787278,18.89924540978942,2.2961202288573155,43.6,19.53983781285807,22.03701770902974,7.438495635986328
C0470,64x64x32_relu_adam_lr0.005_wd0.001_do0_bs32_ns0.01,64x64x32,3,160,relu,adam,0.005,0.001,0.0,32,0.01,,,,21.214382646027442,0.6480843393099996,18.950922128537364,2.2634605174900777,41.0,20.085264359257913,21.7490884923149,6.683993577957153
C0525,64x64x32_tanh_adam_lr0.005_wd0.001_do0_bs32_ns0.05,64x64x32,3,160,tanh,adam,0.005,0.001,0.0,32,0.05,,,,21.224894143850378,0.698013321754667,19.06713613985938,2.157758003990999,58.2,20.673782817310087,22.3655040556524,8.903574705123901
C0433,64x64x32_relu_adam_lr0.01_wd0.001_do0_bs32_ns0,64x64x32,3,160,relu,adam,0.01,0.001,0.0,32,0.0,,,,21.233222654775535,0.8362333212897447,19.777016778298094,1.4562058764774406,34.0,19.862387033525334,21.991319876924187,6.272474050521851
C0435,64x64x32_relu_adam_lr0.01_wd0.001_do0_bs32_ns0.05,64x64x32,3,160,relu,adam,0.01,0.001,0.0,32,0.05,,,,21.29080656211021,0.7877537658452363,18.83558906573426,2.4552174963759477,52.0,20.004031301321863,22.161658913046683,8.231395721435547
C0488,64x64x32_tanh_adam_lr0.01_wd0.001_do0_bs32_ns0.01,64x64x32,3,160,tanh,adam,0.01,0.001,0.0,32,0.01,,,,21.30824505731696,0.5451900324788539,19.08894083475955,2.2193042225574082,70.0,20.684443785143422,22.125114232083043,10.101784467697144
C0489,64x64x32_tanh_adam_lr0.01_wd0.001_do0_bs32_ns0.05,64x64x32,3,160,tanh,adam,0.01,0.001,0.0,32,0.05,,,,21.338509476056608,1.066847737479121,19.775592806377368,1.5629166696792396,81.4,20.548523409991084,23.190735790807036,11.2457115650177
C0523,64x64x32_tanh_adam_lr0.005_wd0.001_do0_bs32_ns0,64x64x32,3,160,tanh,adam,0.005,0.001,0.0,32,0.0,,,,21.35522024265986,0.5993231235853754,18.936035461793306,2.419184780866555,44.0,20.72668783048323,22.216673264735366,7.240152597427368
C0307,64x32_tanh_adam_lr0.005_wd0.001_do0_bs32_ns0,64x32,2,96,tanh,adam,0.005,0.001,0.0,32,0.0,,,,21.36102159436863,1.0099072129956583,19.596217136716042,1.7648044576525876,65.8,20.021517889962173,22.608204202061692,7.070445537567139
C0308,64x32_tanh_adam_lr0.005_wd0.001_do0_bs32_ns0.01,64x32,2,96,tanh,adam,0.005,0.001,0.0,32,0.01,,,,21.3748459914624,1.0413131739311645,19.63851482510902,1.7363311663533807,61.8,20.02527508521542,22.72552996445122,6.910576581954956
C0524,64x64x32_tanh_adam_lr0.005_wd0.001_do0_bs32_ns0.01,64x64x32,3,160,tanh,adam,0.005,0.001,0.0,32,0.01,,,,21.37799212280067,0.5633441334063795,19.111874884234368,2.266117238566302,41.2,20.843492001817463,22.208978011242472,6.985653638839722
